system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,0,478.0,651.0,993.0,1944.0,65535.0,612.0,816.0,1177.0,2166.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,3,564.0,823.0,1212.0,2798.0,65535.0,935.0,1415.0,2030.0,3512.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,406.0,601.0,811.0,2024.0,65535.0,511.0,757.0,990.0,2251.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,3,528.0,791.0,1063.0,2400.0,65535.0,588.0,852.0,1155.0,2314.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,2,866.0,1257.0,1917.0,3730.0,65535.0,784.0,1120.0,1633.0,2685.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,363.0,667.0,566.0,3553.0,65535.0,452.0,700.0,787.0,4324.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,1,712.0,1001.0,1299.0,2415.0,65535.0,604.0,781.0,1125.0,1738.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,2,773.0,1078.0,1673.0,3050.0,65535.0,736.0,1099.0,1727.0,2894.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,0,619.0,867.0,1173.0,2206.0,65535.0,679.0,894.0,1268.0,1919.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,2,1172.0,1890.0,2847.0,4396.0,65535.0,1113.0,1597.0,2174.0,3138.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,3,414.0,832.0,532.0,4210.0,65535.0,617.0,854.0,1385.0,2632.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
70,0,415.0,581.0,814.0,1778.0,65535.0,420.0,581.0,723.0,1671.0,65535.0,"{""type"":""Point"",""coordinates"":[36.13164050600047,50.23732046002262]}"
71,0,281.0,516.0,476.0,2791.0,65535.0,372.0,626.0,670.0,2990.0,65535.0,"{""type"":""Point"",""coordinates"":[37.2347265663063,47.79051861955508]}"
81,2,636.0,929.0,1374.0,3010.0,65535.0,693.0,980.0,1348.0,2441.0,65535.0,"{""type"":""Point"",""coordinates"":[26.64461008910351,49.038635683166376]}"
85,2,1118.0,1601.0,2428.0,3957.0,65535.0,1027.0,1367.0,1847.0,3007.0,65535.0,"{""type"":""Point"",""coordinates"":[36.364324767306336,49.162732200922804]}"
101,2,616.0,886.0,1447.0,2746.0,65535.0,693.0,884.0,1223.0,2217.0,65535.0,"{""type"":""Point"",""coordinates"":[33.4479735137055,48.38878348686175]}"
103,2,677.0,966.0,1610.0,2811.0,65535.0,1069.0,1536.0,2100.0,3306.0,65535.0,"{""type"":""Point"",""coordinates"":[35.0733832404426,47.99281951085625]}"
105,1,835.0,1157.0,1671.0,2666.0,65535.0,913.0,1232.0,1692.0,2685.0,65535.0,"{""type"":""Point"",""coordinates"":[34.87452542650774,47.39018794500743]}"
106,3,515.0,719.0,1017.0,1984.0,65535.0,595.0,859.0,1166.0,2383.0,65535.0,"{""type"":""Point"",""coordinates"":[37.75638075918731,49.20666073614449]}"
119,3,474.0,1092.0,647.0,4464.0,65535.0,556.0,918.0,1218.0,2584.0,65535.0,"{""type"":""Point"",""coordinates"":[33.833615116427,51.72933838982439]}"
141,2,721.0,1062.0,1644.0,2730.0,65535.0,1009.0,1471.0,2237.0,3430.0,65535.0,"{""type"":""Point"",""coordinates"":[34.02788499682554,47.193721969254575]}"
143,0,631.0,826.0,1150.0,2512.0,65535.0,596.0,773.0,1030.0,2150.0,65535.0,"{""type"":""Point"",""coordinates"":[37.074288081864864,49.01010613151442]}"
146,0,395.0,935.0,575.0,4275.0,65535.0,566.0,787.0,1037.0,2854.0,65535.0,"{""type"":""Point"",""coordinates"":[32.63475774288097,50.830299323867145]}"
152,2,770.0,1137.0,1570.0,2825.0,65535.0,736.0,1048.0,1447.0,2599.0,65535.0,"{""type"":""Point"",""coordinates"":[29.567348222047443,45.98372352169224]}"
158,3,526.0,755.0,1072.0,2159.0,65535.0,1137.0,1626.0,2491.0,3785.0,65535.0,"{""type"":""Point"",""coordinates"":[30.458316613652432,46.53788408381395]}"
167,3,524.0,1113.0,1101.0,4009.0,65535.0,750.0,1071.0,1458.0,2606.0,65535.0,"{""type"":""Point"",""coordinates"":[27.334764848516503,49.08656884426331]}"
169,0,335.0,643.0,537.0,3533.0,65535.0,264.0,483.0,481.0,2365.0,65535.0,"{""type"":""Point"",""coordinates"":[28.891258093630093,50.84501157454406]}"
171,2,602.0,841.0,1331.0,2355.0,65535.0,622.0,922.0,1375.0,2427.0,65535.0,"{""type"":""Point"",""coordinates"":[37.27811965312109,47.73176938420064]}"
177,3,539.0,955.0,1244.0,3623.0,65535.0,793.0,1084.0,1486.0,2889.0,65535.0,"{""type"":""Point"",""coordinates"":[28.793339071090106,50.306509578570825]}"
