system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,4,730.0,940.0,1230.0,2545.0,65535.0,396.0,495.0,690.0,1222.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,3,539.0,681.0,859.0,1828.0,65535.0,576.0,664.0,810.0,1682.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,662.0,787.0,998.0,1861.0,65535.0,635.0,732.0,982.0,1738.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,3,572.0,864.0,924.0,3086.0,65535.0,713.0,970.0,1064.0,2845.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,2,368.0,450.0,612.0,1151.0,65535.0,457.0,521.0,661.0,1235.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,553.0,828.0,906.0,2452.0,65535.0,602.0,799.0,830.0,1846.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,1,614.0,810.0,1094.0,1905.0,65535.0,627.0,824.0,1116.0,1796.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,2,524.0,599.0,899.0,1272.0,65535.0,593.0,685.0,951.0,1418.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,4,611.0,759.0,1110.0,1835.0,65535.0,805.0,995.0,1388.0,2109.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,2,666.0,959.0,1013.0,2901.0,65535.0,583.0,869.0,1011.0,2730.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,3,641.0,760.0,1018.0,1733.0,65535.0,1128.0,1218.0,1377.0,2203.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
70,0,522.0,756.0,826.0,2306.0,65535.0,572.0,750.0,843.0,2093.0,65535.0,"{""type"":""Point"",""coordinates"":[36.13164050600047,50.23732046002262]}"
71,4,288.0,333.0,465.0,1691.0,65535.0,307.0,357.0,507.0,1099.0,65535.0,"{""type"":""Point"",""coordinates"":[37.2347265663063,47.79051861955508]}"
81,2,525.0,792.0,940.0,2201.0,65535.0,546.0,732.0,839.0,2399.0,65535.0,"{""type"":""Point"",""coordinates"":[26.64461008910351,49.038635683166376]}"
85,2,585.0,747.0,998.0,1666.0,65535.0,574.0,695.0,852.0,1549.0,65535.0,"{""type"":""Point"",""coordinates"":[36.364324767306336,49.162732200922804]}"
101,2,575.0,922.0,876.0,2851.0,65535.0,567.0,866.0,809.0,2891.0,65535.0,"{""type"":""Point"",""coordinates"":[33.4479735137055,48.38878348686175]}"
103,2,655.0,968.0,1091.0,2838.0,65535.0,457.0,623.0,611.0,2394.0,65535.0,"{""type"":""Point"",""coordinates"":[35.0733832404426,47.99281951085625]}"
105,1,853.0,1127.0,1427.0,2482.0,65535.0,771.0,1055.0,1293.0,2733.0,65535.0,"{""type"":""Point"",""coordinates"":[34.87452542650774,47.39018794500743]}"
106,3,549.0,770.0,942.0,1999.0,65535.0,606.0,735.0,878.0,1890.0,65535.0,"{""type"":""Point"",""coordinates"":[37.75638075918731,49.20666073614449]}"
119,3,540.0,667.0,881.0,1537.0,65535.0,658.0,845.0,926.0,2689.0,65535.0,"{""type"":""Point"",""coordinates"":[33.833615116427,51.72933838982439]}"
141,2,695.0,878.0,1182.0,2152.0,65535.0,736.0,914.0,1070.0,2401.0,65535.0,"{""type"":""Point"",""coordinates"":[34.02788499682554,47.193721969254575]}"
143,0,483.0,752.0,767.0,2480.0,65535.0,537.0,675.0,833.0,1957.0,65535.0,"{""type"":""Point"",""coordinates"":[37.074288081864864,49.01010613151442]}"
146,4,473.0,572.0,755.0,1668.0,65535.0,478.0,569.0,786.0,1687.0,65535.0,"{""type"":""Point"",""coordinates"":[32.63475774288097,50.830299323867145]}"
152,2,546.0,753.0,848.0,2518.0,65535.0,488.0,756.0,838.0,2361.0,65535.0,"{""type"":""Point"",""coordinates"":[29.567348222047443,45.98372352169224]}"
158,3,545.0,708.0,965.0,1614.0,65535.0,658.0,758.0,1067.0,1647.0,65535.0,"{""type"":""Point"",""coordinates"":[30.458316613652432,46.53788408381395]}"
167,3,605.0,943.0,1094.0,2629.0,65535.0,662.0,978.0,1214.0,2811.0,65535.0,"{""type"":""Point"",""coordinates"":[27.334764848516503,49.08656884426331]}"
169,0,338.0,478.0,647.0,1889.0,65535.0,402.0,531.0,731.0,1761.0,65535.0,"{""type"":""Point"",""coordinates"":[28.891258093630093,50.84501157454406]}"
171,2,471.0,572.0,766.0,1375.0,65535.0,441.0,481.0,666.0,992.0,65535.0,"{""type"":""Point"",""coordinates"":[37.27811965312109,47.73176938420064]}"
177,3,1043.0,1475.0,1862.0,3136.0,65535.0,1079.0,1453.0,1849.0,3228.0,65535.0,"{""type"":""Point"",""coordinates"":[28.793339071090106,50.306509578570825]}"
181,1,486.0,600.0,783.0,1737.0,65535.0,498.0,579.0,782.0,1421.0,65535.0,"{""type"":""Point"",""coordinates"":[30.274977431063633,49.5974071397204]}"
184,3,699.0,1032.0,1258.0,2743.0,65535.0,799.0,1098.0,1371.0,2918.0,65535.0,"{""type"":""Point"",""coordinates"":[24.85644527825462,49.06691909890904]}"
185,4,686.0,900.0,1110.0,2250.0,65535.0,576.0,745.0,1001.0,1675.0,65535.0,"{""type"":""Point"",""coordinates"":[31.00145950491955,46.85049308816494]}"
192,2,622.0,905.0,1081.0,2261.0,65535.0,713.0,1024.0,1299.0,2409.0,65535.0,"{""type"":""Point"",""coordinates"":[29.171004034685932,45.42462833901434]}"
193,2,620.0,791.0,1014.0,1653.0,65535.0,688.0,806.0,1087.0,1671.0,65535.0,"{""type"":""Point"",""coordinates"":[31.653273923630827,46.91585016846331]}"
209,1,664.0,978.0,1257.0,2524.0,65535.0,654.0,895.0,1123.0,2427.0,65535.0,"{""type"":""Point"",""coordinates"":[33.713471657675896,44.80614858017893]}"
210,7,353.0,707.0,577.0,3474.0,65535.0,961.0,1153.0,1007.0,3750.0,65535.0,"{""type"":""Point"",""coordinates"":[31.58566657873202,51.99092782515339]}"
217,4,530.0,639.0,805.0,1373.0,65535.0,555.0,623.0,872.0,1194.0,65535.0,"{""type"":""Point"",""coordinates"":[31.629552665514886,48.028473660024694]}"
222,7,590.0,786.0,1016.0,2137.0,65535.0,1037.0,1211.0,1471.0,2452.0,65535.0,"{""type"":""Point"",""coordinates"":[33.07674478894098,47.27287788885148]}"
228,4,654.0,866.0,1065.0,2303.0,65535.0,5874.0,6792.0,7073.0,8001.0,65535.0,"{""type"":""Point"",""coordinates"":[32.15386714866072,49.068216698638075]}"
230,2,746.0,932.0,1262.0,2161.0,65535.0,570.0,697.0,923.0,1551.0,65535.0,"{""type"":""Point"",""coordinates"":[28.813339949923016,45.47405985226409]}"
232,0,545.0,660.0,833.0,1423.0,65535.0,599.0,700.0,861.0,1668.0,65535.0,"{""type"":""Point"",""coordinates"":[37.61765620742974,49.24523642594744]}"
233,5,670.0,909.0,1289.0,2325.0,65535.0,694.0,910.0,1194.0,2298.0,65535.0,"{""type"":""Point"",""coordinates"":[32.31598534756109,49.92288199911195]}"
235,3,458.0,607.0,764.0,1667.0,65535.0,948.0,1066.0,1269.0,2094.0,65535.0,"{""type"":""Point"",""coordinates"":[29.865106247683585,49.68861611066367]}"
237,2,454.0,526.0,766.0,1309.0,65535.0,464.0,580.0,691.0,1300.0,65535.0,"{""type"":""Point"",""coordinates"":[37.99774575225984,47.490878082411655]}"
238,3,609.0,821.0,1151.0,1921.0,65535.0,621.0,817.0,1130.0,1929.0,65535.0,"{""type"":""Point"",""coordinates"":[31.244622355044005,46.80234409000783]}"
248,2,552.0,737.0,938.0,1943.0,65535.0,523.0,631.0,812.0,1438.0,65535.0,"{""type"":""Point"",""coordinates"":[28.48377064243454,48.15317890744124]}"
249,3,433.0,535.0,696.0,1165.0,65535.0,372.0,428.0,576.0,908.0,65535.0,"{""type"":""Point"",""coordinates"":[30.35336025322247,47.14674639140351]}"
255,1,510.0,695.0,789.0,2647.0,65535.0,392.0,526.0,515.0,2199.0,65535.0,"{""type"":""Point"",""coordinates"":[33.91921649038379,47.31306465064798]}"
265,3,362.0,442.0,530.0,1270.0,65535.0,398.0,447.0,585.0,1277.0,65535.0,"{""type"":""Point"",""coordinates"":[27.883432033928948,49.84243057841514]}"
