system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,0,334.0,558.0,606.0,3166.0,10000.0,425.0,630.0,749.0,2660.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,0,315.0,534.0,447.0,3226.0,10000.0,345.0,526.0,460.0,2875.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,296.0,488.0,411.0,2365.0,10000.0,320.0,512.0,508.0,2718.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,0,369.0,561.0,415.0,3131.0,10000.0,362.0,572.0,473.0,3229.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,0,199.0,325.0,268.0,3878.0,10000.0,279.0,465.0,355.0,3729.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,317.0,450.0,442.0,1957.0,10000.0,346.0,478.0,473.0,2022.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,0,222.0,442.0,290.0,3485.0,10000.0,349.0,758.0,492.0,3952.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,0,386.0,721.0,473.0,5012.0,10000.0,422.0,809.0,562.0,4537.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,0,195.0,445.0,184.0,5046.0,10000.0,355.0,824.0,530.0,4433.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,0,229.0,433.0,412.0,3087.0,10000.0,303.0,524.0,505.0,2850.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,0,323.0,359.0,350.0,1368.0,10000.0,427.0,990.0,883.0,4316.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
70,0,249.0,414.0,355.0,2495.0,10000.0,310.0,492.0,503.0,2124.0,65535.0,"{""type"":""Point"",""coordinates"":[36.13164050600047,50.23732046002262]}"
71,0,217.0,387.0,248.0,4795.0,10000.0,363.0,448.0,514.0,4575.0,65535.0,"{""type"":""Point"",""coordinates"":[37.2347265663063,47.79051861955508]}"
