system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
661,3,748.0,1164.0,1704.0,3079.0,65535.0,531.0,678.0,953.0,1735.0,65535.0,"{""type"":""Point"",""coordinates"":[31.576388991619492,51.67541668209023]}"
672,0,521.0,794.0,909.0,3162.0,65535.0,354.0,642.0,580.0,3208.0,65535.0,"{""type"":""Point"",""coordinates"":[22.945212302082552,49.631533898562765]}"
678,4,789.0,1089.0,1386.0,2278.0,65535.0,647.0,888.0,1147.0,1954.0,65535.0,"{""type"":""Point"",""coordinates"":[39.79851715916276,48.52911316946691]}"
679,0,495.0,681.0,806.0,1919.0,65535.0,480.0,631.0,757.0,1918.0,65535.0,"{""type"":""Point"",""coordinates"":[37.39953554704427,49.22661982640221]}"
695,5,517.0,752.0,1033.0,2072.0,65535.0,520.0,765.0,1066.0,2389.0,65535.0,"{""type"":""Point"",""coordinates"":[33.23837353540489,51.12483991311541]}"
698,0,819.0,974.0,824.0,3926.0,65535.0,350.0,576.0,402.0,4471.0,65535.0,"{""type"":""Point"",""coordinates"":[30.08163380729828,50.78297111650222]}"
705,0,518.0,664.0,883.0,1878.0,65535.0,518.0,665.0,868.0,1879.0,65535.0,"{""type"":""Point"",""coordinates"":[35.901729226819626,49.207423569733656]}"
713,3,652.0,859.0,1064.0,2589.0,65535.0,516.0,748.0,803.0,2734.0,65535.0,"{""type"":""Point"",""coordinates"":[34.47344174068211,48.08863267479835]}"
715,2,644.0,896.0,1302.0,2246.0,65535.0,610.0,700.0,1075.0,1412.0,65535.0,"{""type"":""Point"",""coordinates"":[33.085677595569535,47.37090553023559]}"
716,4,537.0,747.0,989.0,2236.0,65535.0,661.0,928.0,1202.0,2385.0,65535.0,"{""type"":""Point"",""coordinates"":[25.445870247064374,50.482367285191884]}"
718,3,493.0,647.0,794.0,1641.0,65535.0,463.0,563.0,741.0,1496.0,65535.0,"{""type"":""Point"",""coordinates"":[30.481527979871736,48.2711717835338]}"
723,4,1038.0,1468.0,2067.0,3326.0,65535.0,811.0,993.0,1412.0,2149.0,65535.0,"{""type"":""Point"",""coordinates"":[30.571229425158766,48.00149960934962]}"
726,2,546.0,741.0,990.0,2429.0,65535.0,469.0,675.0,787.0,2311.0,65535.0,"{""type"":""Point"",""coordinates"":[37.31733752046537,48.480162751794865]}"
732,3,813.0,1271.0,1671.0,3328.0,65535.0,643.0,868.0,1143.0,2315.0,65535.0,"{""type"":""Point"",""coordinates"":[31.534678507070144,49.23785786057813]}"
737,3,560.0,871.0,922.0,2942.0,65535.0,539.0,818.0,882.0,2684.0,65535.0,"{""type"":""Point"",""coordinates"":[34.90155107926764,50.10388780353147]}"
739,0,540.0,674.0,943.0,1679.0,65535.0,495.0,605.0,835.0,1498.0,65535.0,"{""type"":""Point"",""coordinates"":[30.08127016132093,46.134915687875434]}"
748,0,448.0,762.0,782.0,3245.0,65535.0,471.0,752.0,802.0,3030.0,65535.0,"{""type"":""Point"",""coordinates"":[24.27023109551984,50.6299247046261]}"
755,2,931.0,1284.0,1731.0,2621.0,65535.0,758.0,931.0,1222.0,1965.0,65535.0,"{""type"":""Point"",""coordinates"":[30.30947723818157,47.18659767042413]}"
757,0,522.0,711.0,992.0,1965.0,65535.0,457.0,576.0,785.0,1391.0,65535.0,"{""type"":""Point"",""coordinates"":[32.64327452609892,46.974384284025724]}"
