system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,4,911.0,1287.0,1775.0,2823.0,65535.0,730.0,940.0,1230.0,2545.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,3,493.0,634.0,803.0,1647.0,65535.0,539.0,681.0,859.0,1828.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,615.0,739.0,969.0,1484.0,65535.0,662.0,787.0,998.0,1861.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,3,748.0,1039.0,1289.0,2983.0,65535.0,572.0,864.0,924.0,3086.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,2,720.0,898.0,1186.0,2031.0,65535.0,368.0,450.0,612.0,1151.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,459.0,766.0,785.0,3150.0,65535.0,553.0,828.0,906.0,2452.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,1,422.0,518.0,699.0,1323.0,65535.0,614.0,810.0,1094.0,1905.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,2,779.0,928.0,1349.0,1438.0,65535.0,524.0,599.0,899.0,1272.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,4,781.0,1037.0,1491.0,2342.0,65535.0,611.0,759.0,1110.0,1835.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,2,927.0,1257.0,1734.0,2497.0,65535.0,666.0,959.0,1013.0,2901.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,3,665.0,982.0,1056.0,3214.0,65535.0,641.0,760.0,1018.0,1733.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
70,0,386.0,614.0,642.0,2315.0,65535.0,522.0,756.0,826.0,2306.0,65535.0,"{""type"":""Point"",""coordinates"":[36.13164050600047,50.23732046002262]}"
71,4,312.0,381.0,441.0,1893.0,65535.0,288.0,333.0,465.0,1691.0,65535.0,"{""type"":""Point"",""coordinates"":[37.2347265663063,47.79051861955508]}"
81,2,604.0,842.0,1018.0,2169.0,65535.0,525.0,792.0,940.0,2201.0,65535.0,"{""type"":""Point"",""coordinates"":[26.64461008910351,49.038635683166376]}"
85,2,650.0,907.0,1095.0,2903.0,65535.0,585.0,747.0,998.0,1666.0,65535.0,"{""type"":""Point"",""coordinates"":[36.364324767306336,49.162732200922804]}"
101,2,567.0,755.0,854.0,2327.0,65535.0,575.0,922.0,876.0,2851.0,65535.0,"{""type"":""Point"",""coordinates"":[33.4479735137055,48.38878348686175]}"
103,2,908.0,1241.0,1723.0,2721.0,65535.0,655.0,968.0,1091.0,2838.0,65535.0,"{""type"":""Point"",""coordinates"":[35.0733832404426,47.99281951085625]}"
105,1,923.0,1205.0,1601.0,2585.0,65535.0,853.0,1127.0,1427.0,2482.0,65535.0,"{""type"":""Point"",""coordinates"":[34.87452542650774,47.39018794500743]}"
106,3,535.0,708.0,904.0,1827.0,65535.0,549.0,770.0,942.0,1999.0,65535.0,"{""type"":""Point"",""coordinates"":[37.75638075918731,49.20666073614449]}"
119,3,607.0,734.0,974.0,1862.0,65535.0,540.0,667.0,881.0,1537.0,65535.0,"{""type"":""Point"",""coordinates"":[33.833615116427,51.72933838982439]}"
141,2,580.0,688.0,965.0,1507.0,65535.0,695.0,878.0,1182.0,2152.0,65535.0,"{""type"":""Point"",""coordinates"":[34.02788499682554,47.193721969254575]}"
143,0,525.0,743.0,841.0,2319.0,65535.0,483.0,752.0,767.0,2480.0,65535.0,"{""type"":""Point"",""coordinates"":[37.074288081864864,49.01010613151442]}"
146,4,487.0,607.0,755.0,1790.0,65535.0,473.0,572.0,755.0,1668.0,65535.0,"{""type"":""Point"",""coordinates"":[32.63475774288097,50.830299323867145]}"
152,2,576.0,799.0,946.0,2108.0,65535.0,546.0,753.0,848.0,2518.0,65535.0,"{""type"":""Point"",""coordinates"":[29.567348222047443,45.98372352169224]}"
158,3,720.0,975.0,1353.0,2012.0,65535.0,545.0,708.0,965.0,1614.0,65535.0,"{""type"":""Point"",""coordinates"":[30.458316613652432,46.53788408381395]}"
167,3,701.0,926.0,949.0,934.0,65535.0,605.0,943.0,1094.0,2629.0,65535.0,"{""type"":""Point"",""coordinates"":[27.334764848516503,49.08656884426331]}"
169,0,308.0,470.0,605.0,1931.0,65535.0,338.0,478.0,647.0,1889.0,65535.0,"{""type"":""Point"",""coordinates"":[28.891258093630093,50.84501157454406]}"
171,2,513.0,657.0,947.0,1658.0,65535.0,471.0,572.0,766.0,1375.0,65535.0,"{""type"":""Point"",""coordinates"":[37.27811965312109,47.73176938420064]}"
177,3,5199.0,6780.0,5600.0,6379.0,65535.0,1043.0,1475.0,1862.0,3136.0,65535.0,"{""type"":""Point"",""coordinates"":[28.793339071090106,50.306509578570825]}"
181,1,603.0,787.0,954.0,1853.0,65535.0,486.0,600.0,783.0,1737.0,65535.0,"{""type"":""Point"",""coordinates"":[30.274977431063633,49.5974071397204]}"
184,3,727.0,1023.0,930.0,3408.0,65535.0,699.0,1032.0,1258.0,2743.0,65535.0,"{""type"":""Point"",""coordinates"":[24.85644527825462,49.06691909890904]}"
185,4,806.0,1054.0,1447.0,2079.0,65535.0,686.0,900.0,1110.0,2250.0,65535.0,"{""type"":""Point"",""coordinates"":[31.00145950491955,46.85049308816494]}"
192,2,613.0,871.0,1014.0,2618.0,65535.0,622.0,905.0,1081.0,2261.0,65535.0,"{""type"":""Point"",""coordinates"":[29.171004034685932,45.42462833901434]}"
193,2,657.0,886.0,1220.0,2025.0,65535.0,620.0,791.0,1014.0,1653.0,65535.0,"{""type"":""Point"",""coordinates"":[31.653273923630827,46.91585016846331]}"
209,1,651.0,948.0,1144.0,2358.0,65535.0,664.0,978.0,1257.0,2524.0,65535.0,"{""type"":""Point"",""coordinates"":[33.713471657675896,44.80614858017893]}"
210,0,407.0,679.0,617.0,2944.0,65535.0,353.0,707.0,577.0,3474.0,65535.0,"{""type"":""Point"",""coordinates"":[31.58566657873202,51.99092782515339]}"
217,4,503.0,538.0,759.0,1273.0,65535.0,530.0,639.0,805.0,1373.0,65535.0,"{""type"":""Point"",""coordinates"":[31.629552665514886,48.028473660024694]}"
222,0,729.0,894.0,1258.0,2073.0,65535.0,590.0,786.0,1016.0,2137.0,65535.0,"{""type"":""Point"",""coordinates"":[33.07674478894098,47.27287788885148]}"
228,4,569.0,761.0,961.0,1853.0,65535.0,654.0,866.0,1065.0,2303.0,65535.0,"{""type"":""Point"",""coordinates"":[32.15386714866072,49.068216698638075]}"
230,2,681.0,883.0,1184.0,1920.0,65535.0,746.0,932.0,1262.0,2161.0,65535.0,"{""type"":""Point"",""coordinates"":[28.813339949923016,45.47405985226409]}"
232,0,546.0,661.0,800.0,1440.0,65535.0,545.0,660.0,833.0,1423.0,65535.0,"{""type"":""Point"",""coordinates"":[37.61765620742974,49.24523642594744]}"
233,5,586.0,768.0,967.0,1966.0,65535.0,670.0,909.0,1289.0,2325.0,65535.0,"{""type"":""Point"",""coordinates"":[32.31598534756109,49.92288199911195]}"
235,3,482.0,778.0,672.0,2857.0,65535.0,458.0,607.0,764.0,1667.0,65535.0,"{""type"":""Point"",""coordinates"":[29.865106247683585,49.68861611066367]}"
237,2,591.0,784.0,1023.0,2524.0,65535.0,454.0,526.0,766.0,1309.0,65535.0,"{""type"":""Point"",""coordinates"":[37.99774575225984,47.490878082411655]}"
238,3,786.0,1137.0,1722.0,3051.0,65535.0,609.0,821.0,1151.0,1921.0,65535.0,"{""type"":""Point"",""coordinates"":[31.244622355044005,46.80234409000783]}"
248,2,595.0,762.0,956.0,1727.0,65535.0,552.0,737.0,938.0,1943.0,65535.0,"{""type"":""Point"",""coordinates"":[28.48377064243454,48.15317890744124]}"
249,3,400.0,482.0,603.0,1137.0,65535.0,433.0,535.0,696.0,1165.0,65535.0,"{""type"":""Point"",""coordinates"":[30.35336025322247,47.14674639140351]}"
255,1,411.0,614.0,579.0,2410.0,65535.0,510.0,695.0,789.0,2647.0,65535.0,"{""type"":""Point"",""coordinates"":[33.91921649038379,47.31306465064798]}"
265,3,410.0,543.0,646.0,1632.0,65535.0,362.0,442.0,530.0,1270.0,65535.0,"{""type"":""Point"",""coordinates"":[27.883432033928948,49.84243057841514]}"
269,0,505.0,698.0,834.0,1865.0,65535.0,505.0,712.0,781.0,2013.0,65535.0,"{""type"":""Point"",""coordinates"":[37.08437364215511,49.13111526056728]}"
270,4,607.0,788.0,900.0,2171.0,65535.0,549.0,729.0,871.0,1912.0,65535.0,"{""type"":""Point"",""coordinates"":[24.54748333546671,50.3529122975266]}"
276,0,353.0,627.0,691.0,2887.0,65535.0,350.0,599.0,675.0,2877.0,65535.0,"{""type"":""Point"",""coordinates"":[28.053529712769432,50.811779147764305]}"
278,2,556.0,838.0,957.0,2847.0,65535.0,568.0,814.0,1012.0,2661.0,65535.0,"{""type"":""Point"",""coordinates"":[28.342035131499372,48.529052193383556]}"
289,2,811.0,1093.0,1555.0,2329.0,65535.0,610.0,844.0,1010.0,2056.0,65535.0,"{""type"":""Point"",""coordinates"":[35.75089091806684,47.887279686014594]}"
290,3,689.0,875.0,1085.0,2112.0,65535.0,464.0,713.0,648.0,2897.0,65535.0,"{""type"":""Point"",""coordinates"":[34.11351597358202,48.071351938943934]}"
294,0,585.0,681.0,976.0,1446.0,65535.0,628.0,796.0,1072.0,1771.0,65535.0,"{""type"":""Point"",""coordinates"":[32.834652575593246,47.118503040142144]}"
297,3,517.0,752.0,739.0,2489.0,65535.0,413.0,708.0,563.0,3031.0,65535.0,"{""type"":""Point"",""coordinates"":[37.7003632004233,48.70884320831288]}"
298,0,437.0,559.0,703.0,1741.0,65535.0,602.0,800.0,944.0,2231.0,65535.0,"{""type"":""Point"",""coordinates"":[37.13252496765159,48.881420260032115]}"
303,1,709.0,1018.0,1373.0,2392.0,65535.0,551.0,739.0,1004.0,1836.0,65535.0,"{""type"":""Point"",""coordinates"":[29.386804877894107,45.510357385075494]}"
306,2,635.0,905.0,1158.0,2979.0,65535.0,707.0,988.0,1320.0,1887.0,65535.0,"{""type"":""Point"",""coordinates"":[34.12225004522262,45.2460771264564]}"
311,3,427.0,613.0,766.0,2255.0,65535.0,605.0,820.0,927.0,2502.0,65535.0,"{""type"":""Point"",""coordinates"":[24.616096847163323,49.33625503760324]}"
316,2,578.0,800.0,977.0,2576.0,65535.0,393.0,706.0,508.0,3520.0,65535.0,"{""type"":""Point"",""coordinates"":[35.49898710959644,48.21722995366897]}"
319,3,626.0,890.0,1179.0,2567.0,65535.0,437.0,709.0,691.0,2885.0,65535.0,"{""type"":""Point"",""coordinates"":[34.19860742011744,45.592334238907355]}"
323,5,613.0,847.0,1097.0,2067.0,65535.0,644.0,888.0,1135.0,2276.0,65535.0,"{""type"":""Point"",""coordinates"":[33.49562998734142,48.86851238427163]}"
324,0,568.0,774.0,870.0,2152.0,65535.0,542.0,797.0,818.0,2407.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87760134680404,47.57199341226639]}"
327,3,731.0,988.0,1391.0,2466.0,65535.0,716.0,929.0,1220.0,2030.0,65535.0,"{""type"":""Point"",""coordinates"":[36.40304897229814,47.23332179372532]}"
336,3,438.0,554.0,715.0,1884.0,65535.0,487.0,614.0,804.0,1642.0,65535.0,"{""type"":""Point"",""coordinates"":[36.43588937322364,47.48354644097283]}"
351,2,876.0,1221.0,1647.0,2417.0,65535.0,535.0,678.0,951.0,1547.0,65535.0,"{""type"":""Point"",""coordinates"":[39.77760479801364,49.06234040675457]}"
355,3,830.0,1132.0,1490.0,2675.0,65535.0,759.0,996.0,1282.0,2348.0,65535.0,"{""type"":""Point"",""coordinates"":[32.601974390721516,49.08288206298611]}"
357,0,454.0,737.0,554.0,2756.0,65535.0,471.0,587.0,726.0,1679.0,65535.0,"{""type"":""Point"",""coordinates"":[32.9839778156811,48.28793673742257]}"
362,3,456.0,576.0,728.0,1543.0,65535.0,760.0,1016.0,1333.0,2335.0,65535.0,"{""type"":""Point"",""coordinates"":[37.651044645923385,49.29537711588501]}"
372,4,577.0,981.0,879.0,3131.0,65535.0,548.0,683.0,978.0,1749.0,65535.0,"{""type"":""Point"",""coordinates"":[31.74889229519226,49.14557035556844]}"
382,4,500.0,753.0,795.0,2286.0,65535.0,471.0,732.0,719.0,2391.0,65535.0,"{""type"":""Point"",""coordinates"":[36.491824715348685,50.207258931553646]}"
