system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,4,612.0,816.0,1177.0,2166.0,65535.0,1028.0,1433.0,2038.0,3348.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,3,935.0,1415.0,2030.0,3512.0,65535.0,631.0,821.0,1089.0,2193.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,511.0,757.0,990.0,2251.0,65535.0,351.0,424.0,470.0,1035.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,3,588.0,852.0,1155.0,2314.0,65535.0,524.0,719.0,853.0,2200.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,2,784.0,1120.0,1633.0,2685.0,65535.0,754.0,973.0,1307.0,2193.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,452.0,700.0,787.0,4324.0,65535.0,571.0,816.0,640.0,4370.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,1,604.0,781.0,1125.0,1738.0,65535.0,725.0,950.0,1245.0,2185.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,2,736.0,1099.0,1727.0,2894.0,65535.0,707.0,909.0,1267.0,2022.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,4,679.0,894.0,1268.0,1919.0,65535.0,715.0,951.0,1372.0,2288.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,2,1113.0,1597.0,2174.0,3138.0,65535.0,1012.0,1387.0,1942.0,2885.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,3,617.0,854.0,1385.0,2632.0,65535.0,821.0,1049.0,1460.0,2233.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
70,0,420.0,581.0,723.0,1671.0,65535.0,471.0,682.0,662.0,2329.0,65535.0,"{""type"":""Point"",""coordinates"":[36.13164050600047,50.23732046002262]}"
71,4,372.0,626.0,670.0,2990.0,65535.0,228.0,430.0,430.0,1813.0,65535.0,"{""type"":""Point"",""coordinates"":[37.2347265663063,47.79051861955508]}"
81,2,693.0,980.0,1348.0,2441.0,65535.0,1095.0,1668.0,2441.0,4280.0,65535.0,"{""type"":""Point"",""coordinates"":[26.64461008910351,49.038635683166376]}"
85,2,1027.0,1367.0,1847.0,3007.0,65535.0,835.0,1117.0,1519.0,2750.0,65535.0,"{""type"":""Point"",""coordinates"":[36.364324767306336,49.162732200922804]}"
101,2,693.0,884.0,1223.0,2217.0,65535.0,876.0,1162.0,1542.0,2417.0,65535.0,"{""type"":""Point"",""coordinates"":[33.4479735137055,48.38878348686175]}"
103,2,1069.0,1536.0,2100.0,3306.0,65535.0,944.0,1219.0,1631.0,2465.0,65535.0,"{""type"":""Point"",""coordinates"":[35.0733832404426,47.99281951085625]}"
105,1,913.0,1232.0,1692.0,2685.0,65535.0,862.0,1134.0,1586.0,2475.0,65535.0,"{""type"":""Point"",""coordinates"":[34.87452542650774,47.39018794500743]}"
106,3,595.0,859.0,1166.0,2383.0,65535.0,538.0,743.0,913.0,2142.0,65535.0,"{""type"":""Point"",""coordinates"":[37.75638075918731,49.20666073614449]}"
119,3,556.0,918.0,1218.0,2584.0,65535.0,838.0,1058.0,1376.0,2400.0,65535.0,"{""type"":""Point"",""coordinates"":[33.833615116427,51.72933838982439]}"
141,2,1009.0,1471.0,2237.0,3430.0,65535.0,893.0,1300.0,1888.0,2987.0,65535.0,"{""type"":""Point"",""coordinates"":[34.02788499682554,47.193721969254575]}"
143,0,596.0,773.0,1030.0,2150.0,65535.0,541.0,768.0,927.0,2275.0,65535.0,"{""type"":""Point"",""coordinates"":[37.074288081864864,49.01010613151442]}"
146,4,566.0,787.0,1037.0,2854.0,65535.0,660.0,862.0,1101.0,2361.0,65535.0,"{""type"":""Point"",""coordinates"":[32.63475774288097,50.830299323867145]}"
152,2,736.0,1048.0,1447.0,2599.0,65535.0,788.0,1077.0,1489.0,2614.0,65535.0,"{""type"":""Point"",""coordinates"":[29.567348222047443,45.98372352169224]}"
158,3,1137.0,1626.0,2491.0,3785.0,65535.0,662.0,864.0,1198.0,1987.0,65535.0,"{""type"":""Point"",""coordinates"":[30.458316613652432,46.53788408381395]}"
167,3,750.0,1071.0,1458.0,2606.0,65535.0,758.0,1109.0,1450.0,2632.0,65535.0,"{""type"":""Point"",""coordinates"":[27.334764848516503,49.08656884426331]}"
169,0,264.0,483.0,481.0,2365.0,65535.0,268.0,453.0,474.0,2049.0,65535.0,"{""type"":""Point"",""coordinates"":[28.891258093630093,50.84501157454406]}"
171,2,622.0,922.0,1375.0,2427.0,65535.0,559.0,786.0,1067.0,1913.0,65535.0,"{""type"":""Point"",""coordinates"":[37.27811965312109,47.73176938420064]}"
177,3,793.0,1084.0,1486.0,2889.0,65535.0,559.0,823.0,1105.0,1925.0,65535.0,"{""type"":""Point"",""coordinates"":[28.793339071090106,50.306509578570825]}"
181,1,479.0,669.0,912.0,1716.0,65535.0,724.0,964.0,1295.0,2356.0,65535.0,"{""type"":""Point"",""coordinates"":[30.274977431063633,49.5974071397204]}"
184,3,445.0,791.0,888.0,2886.0,65535.0,364.0,687.0,901.0,2745.0,65535.0,"{""type"":""Point"",""coordinates"":[24.85644527825462,49.06691909890904]}"
185,4,483.0,694.0,1044.0,1865.0,65535.0,890.0,1170.0,1672.0,2390.0,65535.0,"{""type"":""Point"",""coordinates"":[31.00145950491955,46.85049308816494]}"
192,2,732.0,1024.0,1307.0,3695.0,65535.0,686.0,979.0,1258.0,2937.0,65535.0,"{""type"":""Point"",""coordinates"":[29.171004034685932,45.42462833901434]}"
193,2,1003.0,1457.0,2098.0,3218.0,65535.0,849.0,1193.0,1714.0,2665.0,65535.0,"{""type"":""Point"",""coordinates"":[31.653273923630827,46.91585016846331]}"
209,1,750.0,1087.0,1387.0,2570.0,65535.0,759.0,1078.0,1420.0,2722.0,65535.0,"{""type"":""Point"",""coordinates"":[33.713471657675896,44.80614858017893]}"
210,0,414.0,648.0,655.0,2935.0,65535.0,255.0,515.0,463.0,2663.0,65535.0,"{""type"":""Point"",""coordinates"":[31.58566657873202,51.99092782515339]}"
217,4,703.0,896.0,1238.0,1963.0,65535.0,779.0,962.0,1307.0,2028.0,65535.0,"{""type"":""Point"",""coordinates"":[31.629552665514886,48.028473660024694]}"
222,0,434.0,522.0,730.0,1362.0,65535.0,469.0,607.0,810.0,1491.0,65535.0,"{""type"":""Point"",""coordinates"":[33.07674478894098,47.27287788885148]}"
