system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
5612,2,573.0,749.0,1007.0,2002.0,65535.0,519.0,631.0,767.0,1603.0,65535.0,"{""type"":""Point"",""coordinates"":[33.88353209651551,49.5582718852474]}"
5614,0,551.0,827.0,1184.0,2288.0,65535.0,557.0,751.0,1092.0,1892.0,65535.0,"{""type"":""Point"",""coordinates"":[33.00500089526912,47.99740214250211]}"
5618,2,712.0,1044.0,1584.0,2819.0,65535.0,1131.0,1680.0,2423.0,3771.0,65535.0,"{""type"":""Point"",""coordinates"":[32.905985294681074,47.94949002543977]}"
5621,3,545.0,815.0,1173.0,2812.0,65535.0,1309.0,1908.0,2652.0,4405.0,65535.0,"{""type"":""Point"",""coordinates"":[32.41525723256297,47.19090075973376]}"
5623,2,682.0,1035.0,1329.0,2675.0,65535.0,754.0,1011.0,1408.0,2424.0,65535.0,"{""type"":""Point"",""coordinates"":[29.091230868082274,45.870840200685734]}"
5625,1,672.0,842.0,1182.0,1922.0,65535.0,659.0,816.0,1143.0,1826.0,65535.0,"{""type"":""Point"",""coordinates"":[34.529783801143324,47.36576261513835]}"
5630,3,379.0,672.0,489.0,3897.0,65535.0,619.0,803.0,1115.0,2266.0,65535.0,"{""type"":""Point"",""coordinates"":[32.84566156814578,51.08796342115371]}"
5660,3,362.0,626.0,597.0,3582.0,65535.0,754.0,1048.0,1416.0,2554.0,65535.0,"{""type"":""Point"",""coordinates"":[24.776470566983306,50.48195033682222]}"
5661,3,425.0,784.0,503.0,5424.0,65535.0,831.0,1363.0,1634.0,4183.0,65535.0,"{""type"":""Point"",""coordinates"":[33.61296042937224,51.13459109333719]}"
5663,0,389.0,745.0,631.0,3507.0,65535.0,432.0,616.0,801.0,2374.0,65535.0,"{""type"":""Point"",""coordinates"":[28.419818159026775,51.071816113676945]}"
5670,0,326.0,524.0,559.0,3446.0,65535.0,334.0,566.0,482.0,3531.0,65535.0,"{""type"":""Point"",""coordinates"":[36.82184291736878,48.87043034009984]}"
5671,0,428.0,552.0,699.0,2136.0,65535.0,447.0,614.0,721.0,2374.0,65535.0,"{""type"":""Point"",""coordinates"":[32.036992005377584,47.756626397052166]}"
5677,0,524.0,730.0,1065.0,2255.0,65535.0,496.0,735.0,914.0,2323.0,65535.0,"{""type"":""Point"",""coordinates"":[36.1190758827536,47.44265873420348]}"
5684,0,397.0,562.0,742.0,1938.0,65535.0,500.0,666.0,940.0,1937.0,65535.0,"{""type"":""Point"",""coordinates"":[34.31860126607959,46.45415432556349]}"
5699,3,505.0,736.0,1020.0,2121.0,65535.0,915.0,1197.0,1619.0,2412.0,65535.0,"{""type"":""Point"",""coordinates"":[30.66164734211341,46.81708352650573]}"
5715,0,330.0,593.0,537.0,3127.0,65535.0,528.0,748.0,1112.0,2195.0,65535.0,"{""type"":""Point"",""coordinates"":[31.900131040301748,48.32508733039745]}"
5723,0,585.0,810.0,1147.0,2207.0,65535.0,607.0,805.0,1131.0,1486.0,65535.0,"{""type"":""Point"",""coordinates"":[34.58062038021807,45.42863825549984]}"
5728,0,545.0,887.0,1087.0,2812.0,65535.0,627.0,845.0,1114.0,2666.0,65535.0,"{""type"":""Point"",""coordinates"":[35.627956949019755,50.220928962355394]}"
5746,2,452.0,737.0,806.0,2437.0,65535.0,537.0,751.0,962.0,2333.0,65535.0,"{""type"":""Point"",""coordinates"":[26.562101653479996,50.678477734098266]}"
5748,0,533.0,718.0,1078.0,1760.0,65535.0,636.0,867.0,1256.0,1941.0,65535.0,"{""type"":""Point"",""coordinates"":[34.14650275465552,46.355906233776516]}"
5752,0,479.0,688.0,818.0,2439.0,65535.0,539.0,749.0,1023.0,2314.0,65535.0,"{""type"":""Point"",""coordinates"":[29.46153353977879,45.77539718221296]}"
5753,3,422.0,729.0,883.0,3413.0,65535.0,544.0,778.0,1090.0,2617.0,65535.0,"{""type"":""Point"",""coordinates"":[29.234953051056184,48.25190491560612]}"
5757,3,338.0,645.0,838.0,2462.0,65535.0,925.0,1424.0,2067.0,3381.0,65535.0,"{""type"":""Point"",""coordinates"":[34.06244836149042,46.866690999169165]}"
5770,0,310.0,490.0,508.0,2373.0,65535.0,274.0,394.0,395.0,1998.0,65535.0,"{""type"":""Point"",""coordinates"":[35.1771496687076,46.78497861668941]}"
5773,0,376.0,709.0,575.0,3504.0,65535.0,154.0,549.0,369.0,4001.0,65535.0,"{""type"":""Point"",""coordinates"":[33.075333450447566,51.47169597486857]}"
5780,3,418.0,706.0,797.0,2550.0,65535.0,692.0,895.0,1121.0,2070.0,65535.0,"{""type"":""Point"",""coordinates"":[31.62405933749009,49.02179538072828]}"
5787,2,1289.0,1922.0,2911.0,4848.0,65535.0,1301.0,1937.0,2734.0,4017.0,65535.0,"{""type"":""Point"",""coordinates"":[36.57533798114112,47.048189001858454]}"
5789,0,469.0,640.0,752.0,2486.0,65535.0,541.0,751.0,898.0,2334.0,65535.0,"{""type"":""Point"",""coordinates"":[31.25143576287451,48.06701047521967]}"
5792,3,340.0,596.0,390.0,4422.0,65535.0,759.0,1046.0,1462.0,2583.0,65535.0,"{""type"":""Point"",""coordinates"":[27.176346706627157,49.891829453018474]}"
5805,1,944.0,1532.0,2286.0,4102.0,65535.0,698.0,911.0,1253.0,2029.0,65535.0,"{""type"":""Point"",""coordinates"":[33.44624972589664,47.58534820679359]}"
5806,0,446.0,726.0,753.0,2537.0,65535.0,414.0,663.0,634.0,2511.0,65535.0,"{""type"":""Point"",""coordinates"":[30.875910632177384,50.57623157716187]}"
