system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,0,425.0,630.0,749.0,2660.0,65535.0,445.0,704.0,882.0,2330.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,0,345.0,526.0,460.0,2875.0,65535.0,451.0,698.0,905.0,2726.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,320.0,512.0,508.0,2718.0,65535.0,375.0,574.0,752.0,2347.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,0,362.0,572.0,473.0,3229.0,65535.0,408.0,648.0,624.0,2900.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,0,279.0,465.0,355.0,3729.0,65535.0,408.0,640.0,817.0,2778.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,346.0,478.0,473.0,2022.0,65535.0,380.0,601.0,515.0,3164.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,1,349.0,758.0,492.0,3952.0,65535.0,1256.0,1837.0,2546.0,4153.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,0,422.0,809.0,562.0,4537.0,65535.0,605.0,1265.0,882.0,4691.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,0,355.0,824.0,530.0,4433.0,65535.0,446.0,852.0,1146.0,2814.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,0,303.0,524.0,505.0,2850.0,65535.0,494.0,759.0,1132.0,2449.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,0,427.0,990.0,883.0,4316.0,65535.0,416.0,779.0,519.0,4448.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
